PONOT2026022137370VESILAHTI                     VESILAHTI                                             201608021FI197Pirkanmaa                     Birkaland                     922Vesilahti           Vesilahti           1
PONOT2026022137740HAUKILA                       HAUKILA                                               198601011FI197Pirkanmaa                     Birkaland                     908Valkeakoski         Valkeakoski         1
PONOT2026022141210JOKIHAARA                     JOKIHAARA                                             199005011FI193Keski-Suomi                   Mellersta Finland             892Uurainen            Uurainen            1
PONOT2026022157510SAVONLINNA                    SAVONLINNA                    SLN                     198811011FI1D1Etelä-Savo                    Södra Savolax                 740Savonlinna          Nyslott             1
PONOT2026022161950JUONIKYLÄ                     JUONIKYLÄ                                             198601011FI194Etelä-Pohjanmaa               Södra Österbotten             232Kauhajoki           Kauhajoki           1
PONOT2026022164610YLIMARKKU                     ÖVERMARK                                              199601171FI195Pohjanmaa                     Österbotten                   545Närpiö              Närpes              4
PONOT2026022174630HEINÄKYLÄ                     HEINÄKYLÄ                                             199810011FI1D2Pohjois-Savo                  Norra Savolax                 263Kiuruvesi           Kiuruvesi           1
PONOT2026022198101KEMIJÄRVI                     KEMIJÄRVI                                             199509292FI1D7Lappi                         Lappland                      320Kemijärvi           Kemijärvi           1
PONOT2026022108480LOHJA                         LOJO                                                  200609291FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            444Lohja               Lojo                2
PONOT2026022115500LAHTI                         LAHTI                         LH                      198811011FI1C3Päijät-Häme                   Päijänne-Tavastland           398Lahti               Lahtis              1
PONOT2026022120100TURKU                         ÅBO                           TKU                     199709251FI1C1Varsinais-Suomi               Egentliga Finland             853Turku               Åbo                 2
PONOT2026022122930FISKÖ                         FISKÖ                                                 198609261FI200Ahvenanmaa                    Åland                         035Brändö              Brändö              4
PONOT2026022133711TAMPERE                       TAMPERE                                               199508032FI197Pirkanmaa                     Birkaland                     837Tampere             Tammerfors          1
PONOT2026022149401HAMINA                        FREDRIKSHAMN                                          200512162FI1C4Kymenlaakso                   Kymmenedalen                  075Hamina              Fredrikshamn        1
PONOT2026022162240HUHMARKOSKI                   HUHMARKOSKI                                           198807011FI194Etelä-Pohjanmaa               Södra Österbotten             233Kauhava             Kauhava             1
PONOT2026022165410SUNDOM                        SUNDOM                                                199611011FI195Pohjanmaa                     Österbotten                   905Vaasa               Vasa                2
PONOT2026022181290UKKOLA                        UKKOLA                                                198601011FI1D3Pohjois-Karjala               Norra Karelen                 167Joensuu             Joensuu             1
PONOT2026022185540NIVALA                        NIVALA                                                200111051FI1D9Pohjois-Pohjanmaa             Norra Österbotten             535Nivala              Nivala              1
PONOT2026022100033MTV                           MTV                                                   201311053FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            091Helsinki            Helsingfors         2
PONOT2026022100800HELSINKI                      HELSINGFORS                   HKI         HFORS       199706011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            091Helsinki            Helsingfors         2
PONOT2026022102380ESPOO                         ESBO                                                  198601011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            049Espoo               Esbo                2
PONOT2026022107230ASKOLA                        ASKOLA                                                201901011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            018Askola              Askola              1
PONOT2026022121720KORPOSTRÖM                    KORPOSTRÖM                                            198610011FI1C1Varsinais-Suomi               Egentliga Finland             445Parainen            Pargas              2
PONOT2026022122150JOMALA                        JOMALA                                                198609261FI200Ahvenanmaa                    Åland                         170Jomala              Jomala              4
PONOT2026022127130EURAJOKI                      EURAJOKI                                              198601011FI196Satakunta                     Satakunda                     051Eurajoki            Euraåminne          1
PONOT2026022131460HIRSJÄRVI                     HIRSJÄRVI                                             198601011FI1C1Varsinais-Suomi               Egentliga Finland             761Somero              Somero              1
PONOT2026022134640MUSTAJÄRVI                    MUSTAJÄRVI                                            198601011FI197Pirkanmaa                     Birkaland                     702Ruovesi             Ruovesi             1
PONOT2026022173350HALUNA                        HALUNA                                                198901011FI1D2Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2026022192260KOPSA                         KOPSA                                                 198601011FI1D9Pohjois-Pohjanmaa             Norra Österbotten             678Raahe               Brahestad           1
PONOT2026022192810PELSONSUO                     PELSONSUO                                             199612121FI1D9Pohjois-Pohjanmaa             Norra Österbotten             785Vaala               Vaala               1
PONOT2026022195920SAARIPUDAS                    SAARIPUDAS                                            198601011FI1D7Lappi                         Lappland                      273Kolari              Kolari              1
PONOT2026022198960NARUSKA                       NARUSKA                                               198601011FI1D7Lappi                         Lappland                      732Salla               Salla               1
PONOT2026022100102EDUSKUNTA                     RIKSDAGEN                                             198810013FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            091Helsinki            Helsingfors         2
PONOT2026022121101NAANTALI                      NAANTALI                                              199511012FI1C1Varsinais-Suomi               Egentliga Finland             529Naantali            Nådendal            1
PONOT2026022131720URJALANKYLÄ                   URJALANKYLÄ                                           199801021FI197Pirkanmaa                     Birkaland                     887Urjala              Urjala              1
PONOT2026022132140YPÄJÄ AS                      YPÄJÄ AS                                              200512161FI1C2Kanta-Häme                    Egentliga Tavastland          981Ypäjä               Ypäjä               1
PONOT2026022135301ORIVESI                       ORIVESI                                               198811012FI197Pirkanmaa                     Birkaland                     562Orivesi             Orivesi             1
PONOT2026022154120PULP                          PULP                                                  198601011FI1C5Etelä-Karjala                 Södra Karelen                 405Lappeenranta        Villmanstrand       1
PONOT2026022159730UUKUNIEMI                     UUKUNIEMI                                             199701021FI1C5Etelä-Karjala                 Södra Karelen                 580Parikkala           Parikkala           1
PONOT2026022160550NURMO                         NURMO                                                 200005151FI194Etelä-Pohjanmaa               Södra Österbotten             743Seinäjoki           Seinäjoki           1
